"cfda_program_num","cfda_program_title","agency_code","recipient_county_code","recipient_state_code","recipient_country_code","assistance_type","fiscal_year","asst_cat_type","recip_cat_type","fed_funding_amount","non_fed_funding_amount","total_funding_amount","face_loan_guran","orig_sub_guran","agency_name","assistance_type_name","recip_cat_type_name"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","003","RI","USA","06","2016","d","f",452183,0,452183,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","005","MD","USA","06","2016","d","f",409406,0,409406,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","005","ME","USA","06","2016","d","f",362246,0,362246,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","005","NH","USA","06","2016","d","f",207405,0,207405,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","005","NY","USA","06","2016","d","f",1044082,0,1044082,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","005","NY","USA","06","2016","d","n",0,0,0,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","Non-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","007","MA","USA","06","2016","d","f",203765,0,203765,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","007","NH","USA","06","2016","d","f",84902,0,84902,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","007","RI","USA","06","2016","d","f",171414,0,171414,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","007","VT","USA","06","2016","d","f",32136,0,32136,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","009","NH","USA","06","2016","d","f",85362,0,85362,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","009","NM","USA","06","2016","d","f",65183,0,65183,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","011","CT","USA","06","2016","d","f",96579,0,96579,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","011","FL","USA","06","2016","d","f",522446,0,522446,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","011","NH","USA","06","2016","d","f",346816,0,346816,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","013","AZ","USA","06","2016","d","f",248301,0,248301,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","013","NM","USA","06","2016","d","f",170033,0,170033,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","013","OK","USA","06","2016","d","f",27636,0,27636,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","015","CT","USA","06","2016","d","f",134165,0,134165,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","017","MA","USA","06","2016","d","f",82733,0,82733,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","017","OR","USA","06","2016","d","f",63847,0,63847,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","019","AR","USA","06","2016","d","f",38532,0,38532,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","021","MI","USA","06","2016","d","f",76073,0,76073,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","021","MO","USA","06","2016","d","f",8972,0,8972,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","021","NY","USA","06","2016","d","f",154335,0,154335,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","025","AZ","USA","06","2016","d","f",35924,0,35924,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","025","MA","USA","06","2016","d","f",373589,0,373589,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","027","VT","USA","06","2016","d","f",170208,0,170208,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","029","LA","USA","06","2016","d","f",37252,0,37252,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","029","NY","USA","06","2016","d","f",181210,0,181210,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","029","OR","USA","06","2016","d","f",69678,0,69678,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","029","PA","USA","06","2016","d","f",551148,0,551148,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","031","CO","USA","06","2016","d","f",139880,0,139880,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","031","IL","USA","06","2016","d","f",1555198,0,1555198,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","031","MD","USA","06","2016","d","f",351000,0,351000,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","033","LA","USA","06","2016","d","f",107059,0,107059,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","033","NY","USA","06","2016","d","f",96558,0,96558,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","035","OH","USA","06","2016","d","f",411271,0,411271,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","037","CA","USA","06","2016","d","f",504606,0,504606,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","037","CA","USA","06","2016","d","n",0,0,0,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","Non-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","037","TN","USA","06","2016","d","f",97316,0,97316,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","041","CA","USA","06","2016","d","f",207071,0,207071,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","047","NY","USA","06","2016","d","f",830855,0,830855,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","049","OH","USA","06","2016","d","f",319046,0,319046,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","051","LA","USA","06","2016","d","f",216152,0,216152,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","051","OR","USA","06","2016","d","f",38028,0,38028,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","053","MN","USA","06","2016","d","f",70200,0,70200,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","055","ID","USA","06","2016","d","f",16301,0,16301,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","055","NE","USA","06","2016","d","f",98332,0,98332,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","059","NY","USA","06","2016","d","f",244196,0,244196,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","061","NY","USA","06","2016","d","f",1251035,0,1251035,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","061","WA","USA","06","2016","d","f",42865,0,42865,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","063","MO","USA","06","2016","d","f",128774,0,128774,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","063","WA","USA","06","2016","d","f",167952,0,167952,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","067","CA","USA","06","2016","d","f",43085,0,43085,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","067","NY","USA","06","2016","d","f",153423,0,153423,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","071","KY","USA","06","2016","d","f",93290,0,93290,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","073","AL","USA","06","2016","d","f",69061,0,69061,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","075","SC","USA","06","2016","d","f",53147,0,53147,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","081","CA","USA","06","2016","d","f",679320,0,679320,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","081","MI","USA","06","2016","d","f",278475,0,278475,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","085","CA","USA","06","2016","d","f",117548,0,117548,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","086","FL","USA","06","2016","d","f",1621431,0,1621431,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","089","IN","USA","06","2016","d","f",167762,0,167762,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","091","PA","USA","06","2016","d","f",956840,0,956840,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","093","MT","USA","06","2016","d","f",187000,0,187000,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","095","FL","USA","06","2016","d","f",162240,0,162240,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","097","AL","USA","06","2016","d","f",182368,0,182368,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","097","IN","USA","06","2016","d","f",779106,0,779106,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","097","MN","USA","06","2016","d","f",58381,0,58381,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","099","FL","USA","06","2016","d","f",426972,0,426972,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","099","SD","USA","06","2016","d","f",14508,0,14508,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","101","OH","USA","06","2016","d","f",124539,0,124539,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","101","PA","USA","06","2016","d","f",2433382,0,2433382,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","103","FL","USA","06","2016","d","f",600433,0,600433,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","103","LA","USA","06","2016","d","f",14352,0,14352,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","111","KY","USA","06","2016","d","f",72860,0,72860,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","113","OH","USA","06","2016","d","f",461333,0,461333,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","113","TX","USA","06","2016","d","f",124646,0,124646,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","115","PA","USA","06","2016","d","f",52290,0,52290,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","119","NY","USA","06","2016","d","f",368544,0,368544,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","119","VA","USA","06","2016","d","f",83878,0,83878,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","121","GA","USA","06","2016","d","f",208435,0,208435,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","123","MN","USA","06","2016","d","f",172660,0,172660,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","139","OH","USA","06","2016","d","f",161598,0,161598,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","145","KY","USA","06","2016","d","f",113478,0,113478,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","151","OH","USA","06","2016","d","f",270178,0,270178,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","157","TN","USA","06","2016","d","f",109877,0,109877,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","177","IL","USA","06","2016","d","f",362205,0,362205,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","189","MO","USA","06","2016","d","f",578905,0,578905,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","201","TX","USA","06","2016","d","f",545472,0,545472,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
"14.157 ","Supportive Housing for the Elderly                                        ","8630","439","TX","USA","06","2016","d","f",384425,0,384425,0,0," DEPT OF HOUSING AND URBAN DEV","Direct payment for specified use, as a subsidy or other non-reimbursable direct financial aid","For-Profit Organization"
